iter	Passed	Remaining
0	1	105
1	1	81
2	2	78
3	3	73
4	3	71
5	4	68
6	5	70
7	6	69
8	6	68
9	7	67
10	8	66
11	8	65
12	9	63
13	10	62
14	10	61
15	11	61
16	12	60
17	13	59
18	13	58
19	14	58
20	15	57
21	15	56
22	16	55
23	17	54
24	18	54
25	18	53
26	19	52
27	20	51
28	20	51
29	21	50
30	22	49
31	22	48
32	23	48
33	24	47
34	25	46
35	25	45
36	26	45
37	27	44
38	27	43
39	28	43
40	29	42
41	30	41
42	30	40
43	31	39
44	32	39
45	32	38
46	33	38
47	34	37
48	35	37
49	36	36
50	37	35
51	37	35
52	38	34
53	39	33
54	40	32
55	40	32
56	41	31
57	42	30
58	42	29
59	43	28
60	44	28
61	45	27
62	45	26
63	46	26
64	47	25
65	48	24
66	48	24
67	49	23
68	50	22
69	51	21
70	51	21
71	52	20
72	53	19
73	54	19
74	54	18
75	55	17
76	56	16
77	57	16
78	57	15
79	58	14
80	59	13
81	60	13
82	61	12
83	62	11
84	63	11
85	64	10
86	65	9
87	65	8
88	66	8
89	67	7
90	68	6
91	69	6
92	70	5
93	70	4
94	71	3
95	72	3
96	73	2
97	74	1
98	75	0
99	75	0
